feature,importance,kind,family
mfcc_01_min,0.0,impurity/gain,mfcc
spectral_contrast_3_mean,0.0,impurity/gain,spectral
mfcc_01_median,0.0,impurity/gain,mfcc
mfcc_01_iqr,0.0,impurity/gain,mfcc
mfcc_01_skew,0.0,impurity/gain,mfcc
mfcc_01_kurt,0.0,impurity/gain,mfcc
mfcc_02_mean,0.0,impurity/gain,mfcc
spectral_contrast_2_std,0.0,impurity/gain,spectral
mfcc_02_median,0.0,impurity/gain,mfcc
spectral_contrast_0_mean,0.0,impurity/gain,spectral
spectral_hf_ratio_6000_std,0.0,impurity/gain,spectral
spectral_hf_ratio_6000_mean,0.0,impurity/gain,spectral
mfcc_03_max,0.0,impurity/gain,mfcc
spectral_hf_ratio_4000_mean,0.0,impurity/gain,spectral
spectral_band_6000_8000_std,0.0,impurity/gain,spectral
mfcc_03_kurt,0.0,impurity/gain,mfcc
mfcc_04_min,0.0,impurity/gain,mfcc
mfcc_04_median,0.0,impurity/gain,mfcc
mfcc_04_kurt,0.0,impurity/gain,mfcc
spectral_band_5000_6000_mean,0.0,impurity/gain,spectral
mfcc_05_max,0.0,impurity/gain,mfcc
mfcc_11_iqr,0.0,impurity/gain,mfcc
mfcc_11_skew,0.0,impurity/gain,mfcc
mfcc_11_kurt,0.0,impurity/gain,mfcc
mfcc_17_median,0.0,impurity/gain,mfcc
mfcc_17_skew,0.0,impurity/gain,mfcc
spectral_rms_kurt,0.0,impurity/gain,spectral
spectral_rms_skew,0.0,impurity/gain,spectral
mfcc_18_std,0.0,impurity/gain,mfcc
mfcc_18_median,0.0,impurity/gain,mfcc
mfcc_18_iqr,0.0,impurity/gain,mfcc
mfcc_18_skew,0.0,impurity/gain,mfcc
spectral_rms_median,0.0,impurity/gain,spectral
mfcc_19_std,0.0,impurity/gain,mfcc
mfcc_19_min,0.0,impurity/gain,mfcc
mfcc_19_kurt,0.0,impurity/gain,mfcc
mfcc_d1_00_mean,0.0,impurity/gain,mfcc
mfcc_d2_00_mean,0.0,impurity/gain,mfcc
mfcc_d1_01_std,0.0,impurity/gain,mfcc
spectral_rms_mean,0.0,impurity/gain,spectral
spectral_zcr_kurt,0.0,impurity/gain,spectral
mfcc_d2_02_mean,0.0,impurity/gain,mfcc
spectral_zcr_skew,0.0,impurity/gain,spectral
mfcc_d1_03_mean,0.0,impurity/gain,mfcc
spectral_zcr_median,0.0,impurity/gain,spectral
mfcc_d2_03_mean,0.0,impurity/gain,mfcc
mfcc_d1_04_mean,0.0,impurity/gain,mfcc
spectral_zcr_max,0.0,impurity/gain,spectral
spectral_zcr_min,0.0,impurity/gain,spectral
mfcc_d1_05_mean,0.0,impurity/gain,mfcc
mfcc_d2_05_mean,0.0,impurity/gain,mfcc
mfcc_d2_05_std,0.0,impurity/gain,mfcc
mfcc_d1_06_mean,0.0,impurity/gain,mfcc
mfcc_d1_06_std,0.0,impurity/gain,mfcc
mfcc_17_iqr,0.0,impurity/gain,mfcc
mfcc_17_max,0.0,impurity/gain,mfcc
mfcc_12_mean,0.0,impurity/gain,mfcc
spectral_flux_mean,0.0,impurity/gain,spectral
mfcc_12_std,0.0,impurity/gain,mfcc
spectral_entropy_skew,0.0,impurity/gain,spectral
mfcc_12_median,0.0,impurity/gain,mfcc
mfcc_12_iqr,0.0,impurity/gain,mfcc
peak_amplitude,0.0,impurity/gain,other
mfcc_13_std,0.0,impurity/gain,mfcc
spectral_entropy_iqr,0.0,impurity/gain,spectral
mfcc_13_median,0.0,impurity/gain,mfcc
mfcc_13_skew,0.0,impurity/gain,mfcc
spectral_entropy_min,0.0,impurity/gain,spectral
mfcc_14_std,0.0,impurity/gain,mfcc
mfcc_14_min,0.0,impurity/gain,mfcc
