model,train_condition,test_condition,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,log_loss,top2_accuracy
mlp_sklearn,ref,ref,0.573170731707317,0.5742063492063493,0.5691303944492406,0.5681871632225557,0.4875640544931883,1.857078371169076,0.7804878048780488
mlp_sklearn,ref,mp3_64,0.3908536585365854,0.3834325396825397,0.3123736872787269,0.31652128703239646,0.26579669098535497,4.969411782528971,0.5719512195121951
mlp_sklearn,ref,mp4_aac64,0.49634146341463414,0.4913690476190476,0.48231761000917533,0.48435355340852515,0.3937994486807719,2.3965113588485774,0.7085365853658536
mlp_sklearn,ref,roundtrip_wav,0.49878048780487805,0.49414682539682536,0.4864768636619652,0.4882257450373123,0.3967998281786943,2.4020839841689106,0.7134146341463414
xgboost,ref,ref,0.5810975609756097,0.5821428571428572,0.5744970104392203,0.5743835087633334,0.49735893500838724,1.3262207508087158,0.7847560975609756
xgboost,ref,mp3_64,0.5859756097560975,0.5861111111111111,0.5815517980850691,0.5816570670052482,0.5029815039634364,1.2964811325073242,0.7810975609756098
xgboost,ref,mp4_aac64,0.5597560975609757,0.5601190476190476,0.5513663101988809,0.5507606002638162,0.47138341756102786,1.353598713874817,0.7640243902439025
xgboost,ref,roundtrip_wav,0.5597560975609757,0.5601190476190476,0.5515634109223501,0.5511363681412257,0.47144004999553624,1.347251057624817,0.7652439024390244
lightgbm,ref,ref,0.5896341463414634,0.5907738095238094,0.5839986941267171,0.5836655830078565,0.5075492575671046,1.8708968546665146,0.7871951219512195
lightgbm,ref,mp3_64,0.5847560975609756,0.5856150793650795,0.5801444901606888,0.5799866930126973,0.5016598843435426,1.8081438592253123,0.7914634146341464
lightgbm,ref,mp4_aac64,0.5597560975609757,0.5590277777777778,0.5525584385090289,0.5525678171789201,0.4712040014290819,1.8757694723247913,0.7676829268292683
lightgbm,ref,roundtrip_wav,0.5628048780487804,0.5621031746031746,0.5557388276685754,0.5556306270091603,0.474837879843507,1.8697754202172407,0.7682926829268293
dummy_majority,mp4_aac64,ref,0.17073170731707318,0.16666666666666666,0.04861111111111111,0.049796747967479675,0.0,29.889858908048364,0.34146341463414637
dummy_majority,mp4_aac64,mp3_64,0.17073170731707318,0.16666666666666666,0.04861111111111111,0.049796747967479675,0.0,29.889858908048364,0.34146341463414637
dummy_majority,mp4_aac64,mp4_aac64,0.17073170731707318,0.16666666666666666,0.04861111111111111,0.049796747967479675,0.0,29.889858908048364,0.34146341463414637
dummy_majority,mp4_aac64,roundtrip_wav,0.17073170731707318,0.16666666666666666,0.04861111111111111,0.049796747967479675,0.0,29.889858908048364,0.34146341463414637
dummy_stratified,mp4_aac64,ref,0.16219512195121952,0.1613095238095238,0.1610643353472327,0.1618856963305348,-0.006125984533228657,30.197548632101807,0.3280487804878049
dummy_stratified,mp4_aac64,mp3_64,0.16219512195121952,0.1613095238095238,0.1610643353472327,0.1618856963305348,-0.006125984533228657,30.197548632101807,0.3280487804878049
dummy_stratified,mp4_aac64,mp4_aac64,0.16219512195121952,0.1613095238095238,0.1610643353472327,0.1618856963305348,-0.006125984533228657,30.197548632101807,0.3280487804878049
dummy_stratified,mp4_aac64,roundtrip_wav,0.16219512195121952,0.1613095238095238,0.1610643353472327,0.1618856963305348,-0.006125984533228657,30.197548632101807,0.3280487804878049
logistic_regression,mp4_aac64,ref,0.5609756097560976,0.5608134920634921,0.5606379214665315,0.5600216979974116,0.4726122842748419,1.4406023174688598,0.7823170731707317
logistic_regression,mp4_aac64,mp3_64,0.2780487804878049,0.27142857142857146,0.15038297807029585,0.15405085558420548,0.12941176470588234,12.293252068140394,0.4219512195121951
logistic_regression,mp4_aac64,mp4_aac64,0.5689024390243902,0.5704365079365078,0.5649591155296169,0.5637595472707925,0.48251361242524327,1.4063951035145592,0.7798780487804878
logistic_regression,mp4_aac64,roundtrip_wav,0.5609756097560976,0.5628968253968253,0.5581364056959112,0.5567550873206447,0.47305474732689523,1.4037097422564182,0.7835365853658537
lda,mp4_aac64,ref,0.5713414634146341,0.5705357142857143,0.5633969979515855,0.5636924844557206,0.4851932556976495,1.3347034355498608,0.7829268292682927
lda,mp4_aac64,mp3_64,0.3408536585365854,0.3327380952380952,0.2228585906446603,0.22829416602623737,0.20514705882352946,7.094766732986249,0.4652439024390244
lda,mp4_aac64,mp4_aac64,0.5774390243902439,0.5787698412698413,0.5727999728409628,0.5721749673773183,0.4928785607196402,1.2845724708675506,0.7908536585365854
lda,mp4_aac64,roundtrip_wav,0.5829268292682926,0.5844246031746032,0.5785599780442847,0.5778166280430648,0.4994734869442611,1.2810307003814059,0.7896341463414634
gaussian_nb,mp4_aac64,ref,0.43353658536585366,0.4368055555555555,0.3928356810962548,0.39093434702526414,0.3210758974724608,17.3472614079349,0.6304878048780488
gaussian_nb,mp4_aac64,mp3_64,0.29634146341463413,0.2892857142857143,0.21475287599076764,0.2199907510149327,0.15147058823529413,23.690042648268104,0.4329268292682927
gaussian_nb,mp4_aac64,mp4_aac64,0.4268292682926829,0.43184523809523806,0.38190909951571245,0.3801670450323559,0.3141738588842423,16.732978741550273,0.623780487804878
gaussian_nb,mp4_aac64,roundtrip_wav,0.424390243902439,0.4294642857142857,0.37991938886465326,0.37816146928621797,0.31127996156378457,16.71349804226506,0.6225609756097561
knn,mp4_aac64,ref,0.4798780487804878,0.4797619047619048,0.4677414759008363,0.4676601855529227,0.3755267480894223,3.0491133109682504,0.6914634146341463
knn,mp4_aac64,mp3_64,0.3646341463414634,0.3573412698412699,0.3117777244726681,0.3169166193990509,0.234331594888614,3.669586825898819,0.598170731707317
knn,mp4_aac64,mp4_aac64,0.47012195121951217,0.4729166666666666,0.45698202411870587,0.4559543894814113,0.36473210305785864,2.820790481062643,0.7006097560975609
