pair,rho_used,p_used,rho_all,n_used,top25_overlap
bootstrap,-0.1808463708758725,0.0011364683752444129,0.12166886787890753,321,8
bootstrap,-0.2793582542655409,4.6776742878938124e-07,0.07846592417256187,315,6
bootstrap,-0.194478564591757,0.000529106027002897,0.1368048635340653,314,9
bootstrap,-0.23623322378869271,2.015296373890286e-05,0.07495818983183698,319,9
bootstrap,-0.20022856827526997,0.00038101498545830447,0.13463295257874835,311,7
bootstrap,-0.19759330648961024,0.00041013389518437733,0.125469099740423,316,9
bootstrap,-0.18259374264093645,0.001072321846944507,0.12303803242120338,318,10
bootstrap,-0.27186243092117157,1.0051841124847943e-06,0.07137842100028557,314,6
bootstrap,-0.20621089532821557,0.0001944993509041197,0.10132740369514034,322,7
bootstrap,-0.2718787737706789,7.900685832775131e-07,0.04266453886706771,320,7
bootstrap,-0.23073682910626797,3.873038818738679e-05,0.12993494715832513,312,4
bootstrap,-0.2129472048357287,0.00013999245173683668,0.12126588997829829,315,8
bootstrap,-0.1468568233039476,0.009976940468298888,0.2128120577521232,307,7
bootstrap,-0.19075545261016483,0.0007207385889158573,0.1372553995475373,311,6
bootstrap,-0.21564263592718558,0.00011167762468852844,0.12673699641764147,316,8
bootstrap,-0.11212924356832224,0.04606329689294338,0.1827707555961556,317,9
bootstrap,-0.20302449870871297,0.0002934233997301254,0.1324303507813893,314,7
bootstrap,-0.17907937917078456,0.0013903416663285113,0.1396731132553695,316,10
bootstrap,-0.30117448990913065,4.3197351493692375e-08,0.04120592370490383,318,10
bootstrap,-0.19889634768407793,0.0003912931526556858,0.12318404030186808,314,7
bootstrap,-0.047665579041538605,0.4091595202784131,0.2738051266472029,302,13
bootstrap,-0.20281554696340037,0.0002784031996646906,0.11641952977995053,317,8
bootstrap,-0.1804806927255558,0.0013430131472570218,0.13400976581306998,313,8
bootstrap,-0.1574918140409519,0.005085074241221499,0.16764315819328446,315,11
bootstrap,-0.27904973156230145,5.244259411672923e-07,0.07198757103890029,313,9
bootstrap,-0.22995815673345432,3.570558466844881e-05,0.10592933206507632,317,5
bootstrap,-0.17314467934896946,0.0022181746593549737,0.17273792370681745,310,8
bootstrap,-0.15554213308856502,0.005743950077986245,0.17372875156670176,314,7
bootstrap,-0.14599293083477657,0.009466440294385911,0.14922166819260213,315,10
bootstrap,-0.0630666267919732,0.267508836361641,0.23482311684195595,311,8
bootstrap,-0.17043035716267874,0.0026067171536993425,0.16212558985546635,310,10
bootstrap,-0.16703157788588655,0.0028091244440168433,0.13412811487681764,318,6
bootstrap,-0.1762027018030536,0.0017516860646495415,0.1366293932116141,313,11
bootstrap,-0.17609443495769822,0.0015912262115191141,0.10967477011752431,319,6
bootstrap,-0.09754149096621903,0.08440797919816907,0.18849574761309687,314,8
bootstrap,-0.19878562741968195,0.0003695893999795676,0.11529100738292086,317,7
bootstrap,-0.2642423770746827,2.5709030905113693e-06,0.10643103913073566,308,6
bootstrap,-0.18084751541688643,0.0011994060651914394,0.13071475360813697,318,9
bootstrap,-0.1845137318564809,0.001377483672530395,0.20326843643986844,298,9
bootstrap,-0.279932448783703,3.2884264060089244e-07,0.05001096674052806,322,3
bootstrap,-0.24553742157759018,1.0089507325933787e-05,0.1007205577748415,316,7
bootstrap,-0.20587393041929677,0.0002237151465073968,0.12673748930448675,317,8
bootstrap,-0.16714539926094682,0.0027472581689720376,0.11564869226461867,319,9
bootstrap,-0.13865881181429873,0.013182930673601056,0.15300751452953387,319,9
bootstrap,-0.2860006337018036,2.883025210937327e-07,0.0811308380761095,311,4
bootstrap,-0.2193459266899594,0.00010950814962747642,0.1298781085076809,306,7
bootstrap,-0.13009632061489937,0.024708796636058395,0.21523854555443325,298,6
