condition,path,depth,feature,family,threshold,entropy_bits,information_gain_bits,n_samples,w_samples
mp4_aac64,LLLLR,5,spectral_band_4000_5000_std,spectral,0.016609597951173782,1.6072922957431088,0.23901202492458734,85,83.30553818422199
mp4_aac64,LLLR,4,prosody_f2_std,prosody,326.8660430908203,1.527550803305082,0.1362327294549246,154,150.9803396767134
mp4_aac64,LLLRR,5,mfcc_12_skew,mfcc,-0.03205450531095266,1.280832239803712,0.10995212495602269,121,118.10058297191623
mp4_aac64,LLR,3,prosody_f3_bw_median,prosody,712.6445617675781,2.097540745182406,0.07572088136717359,786,789.0922765593751
mp4_aac64,LLRL,4,prosody_f0_mean,prosody,199.27474212646484,2.186299181963206,0.11572401185643538,498,504.9521368388916
mp4_aac64,LLRLL,5,mfcc_03_skew,mfcc,-0.7198905646800995,2.068461071908836,0.09617026350438396,404,412.0531345424352
mp4_aac64,LLRLR,5,mfcc_05_mean,mfcc,1.4176135659217834,2.0799522437852236,0.2663569963300447,94,92.89900229645674
mp4_aac64,LLRR,4,spectral_contrast_1_mean,spectral,7.7606072425842285,1.7295197922860301,0.0922855449133958,288,284.1401397204789
mp4_aac64,LLRRL,5,spectral_band_0_500_mean,spectral,0.8725076913833618,1.9315561690056897,0.1374842176190802,147,145.6394271672554
mp4_aac64,LLRRR,5,mfcc_16_median,mfcc,-2.13216233253479,1.327742149612261,0.1278660189804417,141,138.50071255322317
mp4_aac64,LR,2,prosody_f0_mean,prosody,219.0372085571289,2.409638652416055,0.09570184060821785,1894,1933.3852991278832
mp4_aac64,LRL,3,spectral_band_0_500_mean,spectral,0.8284315466880798,2.346489506854558,0.0695918168479035,1662,1704.8881654397373
mp4_aac64,LRLL,4,duration_s,other,2.8480000495910645,2.280578536366126,0.068967424709235,1204,1239.8608842324213
mp4_aac64,LRLLL,5,mfcc_00_median,mfcc,-215.19579315185547,2.249932218992429,0.06680829613534994,853,887.2670168758681
mp4_aac64,LRLLR,5,mfcc_09_mean,mfcc,-1.199654757976532,2.1151798979097403,0.10771521980682519,351,352.59386735655875
mp4_aac64,LRLR,4,prosody_cpps,prosody,5.375481605529785,2.2670837767020884,0.07309119432353861,458,465.02728120733747
mp4_aac64,LRLRL,5,spectral_band_1000_2000_std,spectral,0.03346504084765911,2.1370952503945424,0.17617923426391202,150,148.5240795654383
mp4_aac64,LRLRR,5,mfcc_09_std,mfcc,5.185330152511597,2.220692545661119,0.08955842978228812,308,316.50320164189895
mp4_aac64,LRR,3,mfcc_02_std,mfcc,14.7880277633667,2.0710510318308715,0.15277108022642638,232,228.49713368815713
mp4_aac64,LRRL,4,mfcc_13_kurt,mfcc,0.3511199504137039,1.5158158092016996,0.2505741105055995,66,64.88644091077596
mp4_aac64,LRRR,4,spectral_band_5000_6000_std,spectral,0.031086432747542858,2.0778933934364776,0.1904195202674312,166,163.61069277738156
mp4_aac64,LRRRL,5,mfcc_d1_14_std,mfcc,0.758659690618515,1.876058788664975,0.20890604360792597,138,135.63076584307404
mp4_aac64,R,1,mfcc_d1_00_std,mfcc,7.105626583099365,2.0878595103272675,0.15547099258848562,1830,1795.910582602006
mp4_aac64,RL,2,prosody_f0_median,prosody,161.09910583496094,2.2673294569288336,0.10472322339040097,874,860.1308259438414
mp4_aac64,RLL,3,spectral_band_1000_2000_std,spectral,0.07654054090380669,2.360761168175347,0.1809971236744573,226,226.63209302370535
mp4_aac64,RLLL,4,mfcc_00_iqr,mfcc,112.31549072265625,2.288165122342707,0.14615309178114033,170,172.0020214246603
mp4_aac64,RLLLL,5,mfcc_14_iqr,mfcc,5.334008455276489,2.246790689757599,0.2047137553349656,107,109.71207695725343
mp4_aac64,RLLLR,5,mfcc_d2_14_std,mfcc,0.45540951192379,1.9574640361865125,0.2318145061993112,63,62.28994446740715
mp4_aac64,RLLR,4,spectral_band_500_1000_mean,spectral,0.17271259427070618,1.8384647569903259,0.26810357483497727,56,54.63007159904539
mp4_aac64,RLR,3,spectral_band_0_500_mean,spectral,0.7132903635501862,2.091716955871357,0.07181970977866547,648,633.4987329201249
mp4_aac64,RLRL,4,prosody_f0_median,prosody,270.2040100097656,2.0207323565855906,0.10570679896021395,296,288.7624464290287
mp4_aac64,RLRLL,5,mfcc_d1_06_mean,mfcc,-0.017818900756537914,1.9869876990601436,0.12243602582848623,201,196.08643210922008
mp4_aac64,RLRLR,5,prosody_intensity_mean,prosody,56.68977355957031,1.7627661012336795,0.2334591758111808,95,92.676014319809
mp4_aac64,RLRR,4,prosody_f0_slope_abs_mean,prosody,704.7568969726562,2.0191977300904487,0.10533973177841971,352,344.73628649108934
mp4_aac64,RLRRL,5,mfcc_00_iqr,mfcc,111.1346664428711,2.138539413397055,0.14934859291851454,219,214.98753541111634
mp4_aac64,RLRRR,5,spectral_centroid_skew,spectral,2.7065621614456177,1.5415715348219912,0.15745836641674793,133,129.74875107997343
