feature,importance,kind,family
mfcc_02_max,0.1546108430926312,mean |coefficient|,mfcc
prosody_f0_std,0.153903981264408,mean |coefficient|,prosody
mfcc_08_std,0.15388819542792984,mean |coefficient|,mfcc
mfcc_d1_15_std,0.15385682632843165,mean |coefficient|,mfcc
spectral_contrast_3_mean,0.15256332237157436,mean |coefficient|,spectral
mfcc_17_min,0.15240370356704117,mean |coefficient|,mfcc
spectral_slope_iqr,0.151850078546146,mean |coefficient|,spectral
prosody_f0_slope_abs_mean,0.15035600009332273,mean |coefficient|,prosody
mfcc_11_min,0.1494742605145953,mean |coefficient|,mfcc
mfcc_d2_13_std,0.14893768887454606,mean |coefficient|,mfcc
spectral_rolloff95_min,0.14525368669347263,mean |coefficient|,spectral
mfcc_d2_17_std,0.145107184192534,mean |coefficient|,mfcc
prosody_f3_std,0.14503498860768385,mean |coefficient|,prosody
prosody_f0_iqr,0.14358026802791135,mean |coefficient|,prosody
mfcc_14_max,0.14128520915314138,mean |coefficient|,mfcc
mfcc_15_min,0.1412188000151602,mean |coefficient|,mfcc
mfcc_08_min,0.13998492353564784,mean |coefficient|,mfcc
mfcc_09_iqr,0.13801720856410515,mean |coefficient|,mfcc
spectral_slope_kurt,0.13728835561735156,mean |coefficient|,spectral
mfcc_00_max,0.13717379990350434,mean |coefficient|,mfcc
prosody_f4_std,0.13712728064164628,mean |coefficient|,prosody
chroma_04_std,0.1371075316551887,mean |coefficient|,chroma
chroma_03_std,0.13658165464536848,mean |coefficient|,chroma
mfcc_d1_14_std,0.1364364298299792,mean |coefficient|,mfcc
mfcc_d1_06_std,0.13638834056119234,mean |coefficient|,mfcc
mfcc_d2_06_std,0.13534968846109596,mean |coefficient|,mfcc
mfcc_d2_00_mean,0.13531035055691767,mean |coefficient|,mfcc
mfcc_19_iqr,0.13487114209405307,mean |coefficient|,mfcc
chroma_06_std,0.13294506793748717,mean |coefficient|,chroma
spectral_hf_ratio_4000_mean,0.13292740456018018,mean |coefficient|,spectral
mfcc_04_max,0.1320943182136383,mean |coefficient|,mfcc
mfcc_d2_11_std,0.13175469708327306,mean |coefficient|,mfcc
mfcc_10_skew,0.13095670496511694,mean |coefficient|,mfcc
prosody_f2_bw_median,0.13015727380942974,mean |coefficient|,prosody
mfcc_19_skew,0.13013588289217226,mean |coefficient|,mfcc
spectral_band_2000_3000_mean,0.13010831767871686,mean |coefficient|,spectral
prosody_shimmer_localdb,0.12980646397640147,mean |coefficient|,prosody
mfcc_12_min,0.12967319607507866,mean |coefficient|,mfcc
spectral_bandwidth_skew,0.12850025168936738,mean |coefficient|,spectral
mfcc_d1_10_mean,0.12809992629979294,mean |coefficient|,mfcc
mfcc_d2_10_mean,0.12755330366621132,mean |coefficient|,mfcc
mfcc_05_max,0.12724516285599158,mean |coefficient|,mfcc
spectral_zcr_skew,0.1267215484210318,mean |coefficient|,spectral
mfcc_06_max,0.12645233255108015,mean |coefficient|,mfcc
mfcc_d2_08_std,0.12461499267035218,mean |coefficient|,mfcc
prosody_pause_fraction,0.12451531751315946,mean |coefficient|,prosody
prosody_voiced_fraction,0.12451531751315925,mean |coefficient|,prosody
spectral_flux_iqr,0.1218751052723075,mean |coefficient|,spectral
chroma_07_std,0.12186761657998013,mean |coefficient|,chroma
mfcc_08_skew,0.1209251273199302,mean |coefficient|,mfcc
mfcc_d2_15_std,0.12077739667421301,mean |coefficient|,mfcc
mfcc_d1_11_std,0.12004698647710255,mean |coefficient|,mfcc
mfcc_03_iqr,0.11933213875673694,mean |coefficient|,mfcc
mfcc_d1_09_std,0.11905828831827399,mean |coefficient|,mfcc
mfcc_d2_15_mean,0.11899495142279544,mean |coefficient|,mfcc
mfcc_d2_16_std,0.11848494755838641,mean |coefficient|,mfcc
