,speaker_eta2,emotion_eta2,family
mfcc_d1_13_mean,0.010717065003850194,0.0010282535838112858,mfcc
mfcc_d1_13_std,0.1346386133185264,0.13401082708750295,mfcc
mfcc_d2_13_mean,0.019803184538402963,0.0007795338627921847,mfcc
mfcc_d2_13_std,0.12320614885867401,0.10179657972090034,mfcc
mfcc_d1_14_mean,0.012086254142992645,0.0008673977156617704,mfcc
mfcc_d1_14_std,0.14269063388448106,0.14359701308406025,mfcc
mfcc_d2_14_mean,0.017515147865576557,0.0009621444342045522,mfcc
mfcc_d2_14_std,0.14140973927266956,0.10964065874706978,mfcc
mfcc_d1_15_mean,0.011648680861583938,0.0024556271520912846,mfcc
mfcc_d1_15_std,0.1364164209559976,0.15210104302987715,mfcc
mfcc_d2_15_mean,0.01908425040150935,0.00010888644936524697,mfcc
mfcc_d2_15_std,0.1312482032394224,0.10797457420708848,mfcc
mfcc_d1_16_mean,0.011328210232406266,0.0005438619173354387,mfcc
mfcc_d1_16_std,0.16155980257169217,0.14871840246843915,mfcc
mfcc_d2_16_mean,0.016901117903505875,4.830776262398483e-05,mfcc
mfcc_d2_16_std,0.1485820287276708,0.10494039777863087,mfcc
mfcc_d1_17_mean,0.011543778831579704,0.0008968723337958736,mfcc
mfcc_d1_17_std,0.17426661075174837,0.156233715285969,mfcc
mfcc_d2_17_mean,0.022666236341811082,0.0005239259754672112,mfcc
mfcc_d2_17_std,0.1678712793789597,0.11408730189069864,mfcc
mfcc_d1_18_mean,0.010998606772607328,0.0003784622269997912,mfcc
mfcc_d1_18_std,0.18473894718355707,0.15843378533492466,mfcc
mfcc_d2_18_mean,0.016417278260143133,0.0009704677775764286,mfcc
mfcc_d2_18_std,0.1659891681262991,0.11301771788380559,mfcc
mfcc_d1_19_mean,0.014403170029101221,0.00023520998756931826,mfcc
mfcc_d1_19_std,0.20775480007982194,0.174107966155026,mfcc
mfcc_d2_19_mean,0.018096090607532853,0.000521732018642999,mfcc
mfcc_d2_19_std,0.18712414823539109,0.13457042782267425,mfcc
chroma_00_mean,0.22742518001456055,0.11507113034530943,chroma
chroma_00_std,0.23024235873725482,0.20645443157367138,chroma
chroma_01_mean,0.24961376890490108,0.06590877327637172,chroma
chroma_01_std,0.2379827451954526,0.18794876774663216,chroma
chroma_02_mean,0.29647956080882437,0.059180276636105714,chroma
chroma_02_std,0.23742220757116508,0.13585154965399932,chroma
chroma_03_mean,0.38125518000980263,0.047045045336481024,chroma
chroma_03_std,0.1844172782072642,0.11849381065661196,chroma
chroma_04_mean,0.41254420241266654,0.05589722006248877,chroma
chroma_04_std,0.24249364491579942,0.15273252385630517,chroma
chroma_05_mean,0.3964822548891555,0.08496447777321965,chroma
chroma_05_std,0.26937959425345226,0.16103450506362088,chroma
chroma_06_mean,0.39393187139206554,0.11427318716025171,chroma
chroma_06_std,0.271309314141379,0.154201155073,chroma
chroma_07_mean,0.30419380080833314,0.15274087926208438,chroma
chroma_07_std,0.22311406436213493,0.21424600236865735,chroma
chroma_08_mean,0.18885356762860195,0.20035584998112532,chroma
chroma_08_std,0.1818849672134614,0.24032002848904238,chroma
chroma_09_mean,0.16482937618740687,0.21149830166470754,chroma
chroma_09_std,0.1889052388952334,0.21067195906727287,chroma
chroma_10_mean,0.17503358079628828,0.19891208618844083,chroma
chroma_10_std,0.19588305017704827,0.22133647531453668,chroma
chroma_11_mean,0.19107864406658845,0.17044820459281143,chroma
chroma_11_std,0.2473621776669168,0.18783018350076394,chroma
prosody_f0_mean,0.40962378754255874,0.19955213181488976,prosody
prosody_f0_std,0.17340024320879235,0.0593690544814985,prosody
prosody_f0_min,0.10778722014230219,0.18317093995954165,prosody
prosody_f0_max,0.1862338813878264,0.13748352980275264,prosody
prosody_f0_median,0.4450904187882682,0.1700939129826851,prosody
prosody_f0_iqr,0.17229326080585733,0.04988156046115953,prosody
prosody_f0_skew,0.3065636191487513,0.022533618583296527,prosody
prosody_f0_kurt,0.09385872164899085,0.012376597195377254,prosody
prosody_voiced_fraction,0.2509457502234126,0.04129921330299148,prosody
prosody_f0_slope_abs_mean,0.1338356741606316,0.03850899734196848,prosody
prosody_n_voiced_segments,0.19700734037326584,0.17787339112488118,prosody
prosody_voiced_rate_per_s,0.16779335913474447,0.19909200368352506,prosody
prosody_mean_voiced_seg_s,0.10420655986921551,0.12591125525040206,prosody
prosody_pause_fraction,0.2509457502234126,0.041299213302991473,prosody
prosody_jitter_local,0.1898735590320945,0.11588574915621216,prosody
prosody_jitter_rap,0.18536200432139438,0.10859064764946946,prosody
prosody_jitter_ppq5,0.17788080779432555,0.053527672548198305,prosody
prosody_jitter_ddp,0.18536200432139432,0.10859064764946944,prosody
prosody_shimmer_local,0.1498289491123219,0.1143133862197652,prosody
prosody_shimmer_localdb,0.14198280773321567,0.07670353671236148,prosody
prosody_shimmer_apq3,0.1261573422690878,0.1795118400557232,prosody
prosody_shimmer_apq5,0.10523722388851102,0.08638533665576012,prosody
prosody_shimmer_apq11,0.048012299797851855,0.01148148124779351,prosody
prosody_shimmer_dda,0.1261573422690878,0.1795118400557232,prosody
prosody_hnr_mean,0.2370988028409602,0.16352420925107816,prosody
prosody_hnr_std,0.1607350094765176,0.05850204145253571,prosody
prosody_hnr_min,0.15985954140290168,0.13855508141514636,prosody
prosody_hnr_max,0.19141552845372808,0.1081727456033542,prosody
prosody_hnr_median,0.23060553011492482,0.15081240263677587,prosody
prosody_f1_mean,0.3631304241366239,0.13268879393317484,prosody
prosody_f1_std,0.5267195646153539,0.01404756491479223,prosody
prosody_f1_median,0.2529597760849267,0.21050006982227787,prosody
prosody_f1_bw_median,0.4753537681761467,0.07281906461935399,prosody
prosody_f2_mean,0.18280193840494535,0.006266944578798095,prosody
prosody_f2_std,0.19688526727687544,0.012974861219497726,prosody
