feature,family,anova_F,anova_p,mutual_info
spectral_centroid_max,spectral,104.03852981309876,1.8869722306865178e-106,0.039245225281230756
mfcc_17_kurt,mfcc,99.64656086500517,5.157577744174842e-102,0.049649438466313534
mfcc_00_max,mfcc,98.7708113494682,3.9668119309737926e-101,0.04627609585234049
mfcc_03_kurt,mfcc,96.05496938153726,2.2328875600829547e-98,0.028756890328567764
mfcc_10_mean,mfcc,95.69568256674441,5.1647156059214915e-98,0.04792446323815591
spectral_slope_std,spectral,94.91870977534327,3.1684977846060397e-97,0.029768722077084586
spectral_zcr_max,spectral,94.71574743698015,5.089826102412396e-97,0.0280547962484623
prosody_f0_std,prosody,93.85379508785631,3.812237879051465e-96,0.04425611589380685
chroma_02_mean,chroma,93.53659279512958,8.000158787222457e-96,0.035801669487695253
mfcc_09_median,mfcc,93.42883461717666,1.0291344157054252e-95,0.035054694732751024
prosody_hnr_std,prosody,92.39800771754842,1.145743014352078e-94,0.02661211814327835
prosody_f5_median,prosody,92.20037603063355,1.8189270777698052e-94,0.037185715392580754
chroma_04_mean,chroma,88.0403786528736,3.0914360926285962e-90,0.021261085983820482
spectral_rolloff95_std,spectral,87.61258044252303,8.428516799499455e-90,0.05507178919938216
mfcc_01_std,mfcc,86.91471122494131,4.330673047031849e-89,0.028025265004857136
mfcc_19_kurt,mfcc,86.05021093885027,3.2920148557108303e-88,0.046250053719542716
spectral_zcr_std,spectral,84.54451485723352,1.129122354121376e-86,0.05992731093039483
mfcc_18_kurt,mfcc,84.54411808679318,1.1301751141880794e-86,0.035469369103243054
prosody_jitter_ppq5,prosody,84.09717513185711,3.229358531616682e-86,0.041429219583961174
spectral_rolloff85_std,spectral,83.80809072548206,6.3694165324370906e-86,0.06595012026950275
mfcc_01_iqr,mfcc,83.43384230989086,1.534810365788904e-85,0.04361483540529232
spectral_bandwidth_skew,spectral,80.02498941799351,4.663581992353734e-82,0.024838665013424688
mfcc_10_median,mfcc,79.93338007987519,5.78631630189113e-82,0.04076133170661578
mfcc_07_kurt,mfcc,78.92626947094477,6.203154033003115e-81,0.039667865002238845
mfcc_15_max,mfcc,78.90101083263558,6.583514537840954e-81,0.0531005984907722
prosody_f0_iqr,prosody,78.06803585639989,4.687871026446178e-80,0.04113855021028323
mfcc_16_kurt,mfcc,77.88533056432327,7.211388574242012e-80,0.04236810979844119
prosody_f4_median,prosody,77.01094737181415,5.6678448528486e-79,0.019769327974524575
spectral_bandwidth_kurt,spectral,76.46320069145057,2.0632159055704227e-78,0.03362991017367545
mfcc_15_kurt,mfcc,73.92018568814001,8.352892244339713e-76,0.0330351613086326
mfcc_14_max,mfcc,73.50775430093768,2.2132271020781075e-75,0.04687544586251935
chroma_03_mean,chroma,73.4095374319531,2.7913760677135574e-75,0.02923917193315706
mfcc_04_kurt,mfcc,72.88198504494412,9.711677067144938e-75,0.0448300218740445
spectral_centroid_skew,spectral,72.04260610078397,7.065414750296338e-74,0.03744750012612652
spectral_centroid_kurt,spectral,69.78876849596327,1.46276464154303e-71,0.028124286272155352
mfcc_06_max,mfcc,68.63283857319487,2.2597445645467356e-70,0.01575395572900229
peak_amplitude,other,66.42369965687077,4.247644097605129e-68,0.029313476985614706
spectral_contrast_0_std,spectral,65.71538869334259,2.279430637191829e-67,0.01950817626767609
spectral_entropy_kurt,spectral,65.39333182273641,4.8942381781139466e-67,0.04662626663124181
spectral_rolloff85_max,spectral,64.94979595575617,1.402194507334827e-66,0.043903349362750976
mfcc_05_kurt,mfcc,64.67498632203836,2.692077626298085e-66,0.0367144165477864
spectral_slope_iqr,spectral,64.2525653505822,7.338440011179841e-66,0.013071619653305167
prosody_pause_fraction,prosody,64.05745257926924,1.1662620631167426e-65,0.0220639560484841
prosody_voiced_fraction,prosody,64.0574525792679,1.1662620631204863e-65,0.01728574864123056
mfcc_03_median,mfcc,62.42986450546749,5.5700555769345434e-64,0.028451060429620867
spectral_band_6000_8000_std,spectral,61.17631327430905,1.0964133802954975e-62,0.0247265784854811
spectral_hf_ratio_6000_std,spectral,61.13722601836706,1.203203634474665e-62,0.02051755734629035
mfcc_14_kurt,mfcc,60.27541421940607,9.34357873579647e-62,0.012749237960266502
prosody_f0_slope_abs_mean,prosody,59.556333745404636,5.170609683936895e-61,0.015783428349085415
mfcc_03_mean,mfcc,59.27784713853284,1.0031635068612102e-60,0.03725394772142243
spectral_hf_ratio_4000_std,spectral,56.42585446206466,8.937750002713959e-58,0.026770747949599105
mfcc_13_max,mfcc,55.63515608200642,5.885055368770853e-57,0.016319503336003738
spectral_flatness_max,spectral,55.58536452574522,6.626803974538959e-57,0.05936364092705304
mfcc_12_mean,mfcc,54.42587403919649,1.0523370965470565e-55,0.022325631820351965
mfcc_06_mean,mfcc,52.31194785482195,1.6333568703917689e-53,0.030457727965089276
spectral_flatness_median,spectral,52.180516364502445,2.235459085856238e-53,0.020992508050644343
