condition,feature,family,mean_ref,mean_cond,smd,t,p,rel_change,abs_smd,significant
mp3_64,prosody_f3_median,prosody,2906.244576463886,2907.5468867371396,0.01173252485627079,10.608300438949904,4.186436819344897e-26,0.00044810759693122043,0.01173252485627079,True
mp3_64,prosody_f3_bw_median,prosody,634.6317970984,634.8325028883621,0.0021806565216501224,1.5542283066719538,0.12017250169160096,0.0003162554900017689,0.0021806565216501224,False
mp3_64,prosody_f4_mean,prosody,4013.6788229854915,4015.272614308599,0.014817440241103326,14.74607038006897,1.5720210996215788e-48,0.00039708990016341586,0.014817440241103326,True
mp3_64,prosody_f4_std,prosody,384.4782203842861,383.9065316348513,-0.010461183047827793,-5.844475826020911,5.296185743281142e-09,-0.001486921024715957,0.010461183047827793,True
mp3_64,prosody_f4_median,prosody,3966.9937234440686,3968.0272204835965,0.007811754026023745,6.888782404875312,6.086743463143495e-12,0.00026052399161111833,0.007811754026023745,True
mp3_64,prosody_f5_mean,prosody,4885.319151211559,4887.3026526915955,0.0241930717927797,18.610562231628677,1.3468088432950716e-75,0.0004060126715661059,0.0241930717927797,True
mp3_64,prosody_f5_std,prosody,211.79903942513957,209.97705088306455,-0.03208471463001098,-19.025910443780784,7.585017586024894e-79,-0.008602440063091037,0.03208471463001098,True
mp3_64,prosody_f5_median,prosody,4896.779393636723,4898.044877498203,0.01683779234941815,9.676608551761248,5.1088600873790285e-22,0.00025843187118544745,0.01683779234941815,True
mp3_64,prosody_intensity_mean,prosody,63.548753660233146,63.096431631534564,-0.10670972416171398,-1543.7588322807405,0.0,-0.007117716755185256,0.10670972416171398,True
mp3_64,prosody_intensity_std,prosody,7.847467810581058,7.844800578855039,-0.0008872381297453899,-1.7652085259423984,0.0775697423442609,-0.0003398843793182716,0.0008872381297453899,False
mp3_64,prosody_intensity_min,prosody,52.010182789302235,51.5962744746042,-0.04628710688514059,-12.10260384433396,2.1047058792138015e-33,-0.007958216881775105,0.04628710688514059,True
mp3_64,prosody_intensity_max,prosody,80.1497123944369,79.7042489867225,-0.25815891825570164,-1534.5728177811486,0.0,-0.005557891530816253,0.25815891825570164,True
mp3_64,prosody_intensity_median,prosody,62.253373735637034,61.79494994529384,-0.0908811337145529,-635.8117717511401,0.0,-0.007363838501185865,0.0908811337145529,True
mp3_64,prosody_intensity_iqr,prosody,13.657019115167827,13.649092855365328,-0.0011645332214163912,-9.297360192763238,1.8577542073276743e-20,-0.0005803799303243154,0.0011645332214163912,True
mp3_64,prosody_intensity_skew,prosody,0.4827716893025062,0.48531480081640554,0.0057708574783919804,3.770015130499983,0.00016450147681909078,0.005267731249058047,0.0057708574783919804,False
mp3_64,prosody_intensity_kurt,prosody,-0.7926065989766222,-0.7974617141156333,-0.004657157738177705,-0.6445791620799208,0.5192198149384342,-0.006125504311066487,0.004657157738177705,False
mp3_64,prosody_cpps,prosody,6.521932211291211,6.45215524637453,-0.05892101823307752,-87.18024527935007,0.0,-0.010698817874230314,0.05892101823307752,True
mp4_aac64,duration_s,other,2.542880123639296,2.575559199032388,0.06458155736121259,157.1206086107897,0.0,0.01285120564249123,0.06458155736121259,True
mp4_aac64,peak_amplitude,other,0.5329464959963693,0.5304581311309454,-0.02032365271845901,-37.08892128213426,1.930768465573025e-276,-0.004669070693056722,0.02032365271845901,True
mp4_aac64,spectral_centroid_mean,spectral,518.4869263524757,528.0308910209798,0.040458989909533935,60.36092486481279,0.0,0.018407339092704318,0.040458989909533935,True
mp4_aac64,spectral_centroid_std,spectral,538.8063127571289,563.1823896808719,0.06286901943750363,44.07849549374826,0.0,0.04524088962322658,0.06286901943750363,True
mp4_aac64,spectral_centroid_min,spectral,98.41420409907238,82.04484663181928,-0.5309060101433856,-32.43757719218131,5.19991713009254e-216,-0.16633124879793026,0.5309060101433856,True
mp4_aac64,spectral_centroid_max,spectral,3383.956579538759,3594.0196439854562,0.12858196219461543,30.721972450977013,3.044110435411476e-195,0.06207617016035396,0.12858196219461543,True
mp4_aac64,spectral_centroid_median,spectral,341.1464111065633,343.4539690898939,0.019625031247085884,27.592066253186697,1.2163335363182808e-159,0.006764127976154589,0.019625031247085884,True
mp4_aac64,spectral_centroid_iqr,spectral,349.1650449650911,358.01093802537844,0.032469538217191736,28.917744994800472,2.379227244798062e-174,0.025334417599481414,0.032469538217191736,True
mp4_aac64,spectral_centroid_skew,spectral,3.171235869527321,3.4207075368217974,0.16015058969928925,16.77254864247321,5.283739204992315e-62,0.07866701738955184,0.16015058969928925,True
mp4_aac64,spectral_centroid_kurt,spectral,15.214954786398348,17.335375284455996,0.14086513972268058,11.29611576337789,2.375787208530171e-29,0.13936423261364086,0.14086513972268058,True
